Tanggal,TMA Realisasi_masl,GHI_,Turbines
1/1/2000,100.02,5.3566,173.71
1/2/2000,99.92,4.9817,172.71
1/3/2000,99.9,5.1324,183.03
1/4/2000,99.81,5.5042,184.07
1/5/2000,99.88,4.8278,188.34
1/6/2000,99.87,4.5514,189.03
1/7/2000,99.84,3.5486,182.04
1/8/2000,99.83,3.3036,187.46
1/9/2000,99.77,4.7832,187.61
1/10/2000,99.66,5.5886,191.65
1/11/2000,99.55,3.8443,191.01
1/12/2000,99.44,4.9207,192.43
1/13/2000,99.42,6.3139,189.98
1/14/2000,99.41,4.031,194.82
1/15/2000,99.29,5.4826,205.55
1/16/2000,99.2,4.8538,207.35
1/17/2000,99.08,4.393,205.02
1/18/2000,99.03,2.4067,184.60
1/19/2000,99.13,5.189,164.34
1/20/2000,99.26,3.0982,175.13
1/21/2000,99.26,4.5538,205.69
1/22/2000,99.31,4.4045,201.80
1/23/2000,99.39,5.2985,201.94
1/24/2000,99.38,2.9172,204.82
1/25/2000,99.58,2.9165,206.17
1/26/2000,99.82,2.3477,156.54
1/27/2000,99.88,2.8577,202.10
1/28/2000,100.04,4.9291,207.11
1/29/2000,100.01,5.4638,208.19
1/30/2000,99.83,2.9698,207.35
1/31/2000,99.67,3.2491,206.91
2/1/2000,99.58,4.6166,257.20
2/2/2000,99.47,4.0867,207.08
2/3/2000,99.36,4.7659,204.15
2/4/2000,99.29,5.0088,197.13
2/5/2000,99.27,5.2094,197.34
2/6/2000,99.21,3.683,192.29
2/7/2000,99.11,2.7578,204.65
2/8/2000,98.99,2.753,206.34
2/9/2000,98.92,3.2518,207.09
2/10/2000,98.9,4.0625,207.35
2/11/2000,98.95,4.3942,205.59
2/12/2000,99.02,5.6506,205.97
2/13/2000,99.09,4.2293,205.62
2/14/2000,99.1,5.6573,205.63
2/15/2000,99.19,5.3628,209.79
2/16/2000,99.18,5.4139,206.58
2/17/2000,99.11,6.8026,169.67
2/18/2000,99.13,5.2922,125.58
2/19/2000,99.18,5.2524,124.38
2/20/2000,99.15,4.7088,126.15
2/21/2000,99.11,5.4977,124.31
2/22/2000,99.05,5.5385,123.51
2/23/2000,99.04,5.099,122.38
2/24/2000,99.03,4.9694,122.01
2/25/2000,99.01,3.7937,122.30
2/26/2000,98.98,3.5484,122.49
2/27/2000,98.94,4.8821,122.20
2/28/2000,98.82,4.7801,121.15
2/29/2000,98.74,5.5282,122.22
3/1/2000,98.63,4.1582,124.11
3/2/2000,98.5,3.9804,124.79
3/3/2000,98.41,2.7163,124.13
3/4/2000,98.3,3.5167,126.24
3/5/2000,98.23,5.4384,124.85
3/6/2000,98.12,4.8679,125.13
3/7/2000,98.05,4.878,127.19
3/8/2000,97.95,4.9601,114.47
3/9/2000,97.92,4.8324,96.07
3/10/2000,97.91,4.7681,89.28
3/11/2000,97.91,4.8341,89.13
3/12/2000,97.89,4.8432,86.99
3/13/2000,97.87,4.0958,88.31
3/14/2000,97.8,4.8862,88.34
3/15/2000,97.77,6.9101,88.39
3/16/2000,97.75,5.9803,87.56
3/17/2000,97.67,5.5097,89.28
3/18/2000,97.6,5.5495,86.28
3/19/2000,97.57,5.4485,90.43
3/20/2000,97.47,4.0786,89.01
3/21/2000,97.44,4.8065,89.36
3/22/2000,97.37,6.0842,89.51
3/23/2000,97.48,3.9936,88.70
3/24/2000,97.48,3.4922,86.23
3/25/2000,97.51,4.0932,87.00
3/26/2000,97.47,4.9642,99.21
3/27/2000,97.46,5.3544,86.33
3/28/2000,97.54,5.0902,89.75
3/29/2000,97.7,5.4852,92.96
3/30/2000,97.89,5.6986,91.30
3/31/2000,98.21,5.6182,88.45
4/1/2000,98.57,4.6198,89.16
4/2/2000,98.85,5.2238,87.63
4/3/2000,99.23,4.9579,89.04
4/4/2000,99.59,4.8574,82.68
4/5/2000,99.81,6.0228,86.97
4/6/2000,100.22,3.8611,86.96
4/7/2000,100.5,2.0249,87.06
4/8/2000,100.71,5.1312,86.26
4/9/2000,100.82,4.7513,103.03
4/10/2000,100.95,5.0042,84.28
4/11/2000,101.06,3.9787,85.96
4/12/2000,101.16,5.0412,86.31
4/13/2000,101.26,4.4911,85.81
4/14/2000,101.4,5.754,86.10
4/15/2000,101.5,4.8475,100.54
4/16/2000,101.52,4.9829,124.60
4/17/2000,101.54,4.4506,124.53
4/18/2000,101.59,5.0837,124.73
4/19/2000,101.66,4.9702,124.36
4/20/2000,101.68,4.4218,124.75
4/21/2000,101.72,5.3436,124.52
4/22/2000,101.7,4.2576,137.71
4/23/2000,101.69,4.6106,128.17
4/24/2000,101.57,3.823,141.12
4/25/2000,101.56,4.6874,166.69
4/26/2000,101.53,4.6068,167.21
4/27/2000,101.44,4.956,166.84
4/28/2000,101.45,4.9474,167.04
4/29/2000,101.4,5.0573,166.93
4/30/2000,101.34,5.6534,166.91
5/1/2000,101.26,4.8722,145.65
5/2/2000,101.38,4.5974,124.42
5/3/2000,101.43,2.2162,123.07
5/4/2000,101.53,4.4494,128.72
5/5/2000,101.54,4.8557,149.67
5/6/2000,101.56,5.0203,170.04
5/7/2000,101.54,5.3839,170.72
5/8/2000,101.46,4.6006,172.02
5/9/2000,101.43,4.9735,172.33
5/10/2000,101.38,5.3755,172.83
5/11/2000,101.33,5.3422,172.57
5/12/2000,101.37,5.8601,172.62
5/13/2000,101.33,4.1011,172.50
5/14/2000,101.29,5.2075,172.39
5/15/2000,101.2,4.3615,172.12
5/16/2000,101.2,4.3346,172.32
5/17/2000,101.32,4.5715,172.93
5/18/2000,101.47,5.4094,172.69
