WSE_masl,Volume_Juta_m3
34,0
35,0.70827
36,2.39649
37,5.37895
38,9.434824
39,14.680717
40,20.813232
41,27.647793
42,35.340071
43,43.829667
44,53.154502
45,63.224332
46,74.103346
47,85.805768
48,98.403795
49,111.863294
50,124.321209
51,139.517318
52,155.691834
53,172.799227
54,188.515395
55,207.606097
56,227.746112
57,248.907001
58,268.347487
59,291.478582
60,315.568139
61,340.640418
62,363.893351
63,390.858726
64,418.741037
65,447.611362
66,476.397376
67,507.144033
68,538.753911
69,571.225143
70,601.622789
71,635.821153
72,670.902205
73,706.846096
74,740.70281
75,778.484338
76,817.150154
77,856.736067
78,885.902053
79,927.560272
80,970.411212
81,1014.587752
82,1046.705632
83,1092.977447
84,1140.472948
85,1189.22862
86,1222.30355
87,1274.403566
88,1328.34523
89,1383.863703
90,1416.210492
91,1474.003431
92,1534.014111
93,1595.542949
94,1633.867357
95,1698.446141
96,1764.581111
97,1832.154581
98,1885.794389
99,1956.464002
100,2028.568618
101,2101.847842
102,2156.728383
103,2232.475242
104,2289.891765
105,2367.918036
106,2433.617078
107,2513.80363
108,2585.121421
109,2667.40084
110,2739.141584
