Years,Month,WSE,IRR,Turbines Outflow
2000,Jan,99.596129,4.323194,192.209677
2000,Feb,99.100690,4.710231,171.315517
2000,Mar,97.834516,4.868806,98.347742
2000,Apr,100.967333,4.747307,116.130000
2000,May,101.677419,4.876519,161.276452
2000,Jun,101.873333,4.478203,167.725687
2000,Jul,99.865806,5.108597,170.376774
2000,Aug,97.553871,5.326800,161.846774
2000,Sep,96.915333,5.971410,158.519667
2000,Oct,93.350323,5.127700,150.612581
2000,Nov,94.422667,4.467107,171.862000
2000,Dec,96.382581,5.397584,180.765161
2001,Jan,95.938710,4.897632,143.238710
2001,Feb,96.231786,4.299332,103.173929
2001,Mar,98.643226,4.604365,103.346452
2001,Apr,103.301333,5.171563,140.400000
2001,May,105.733871,5.006126,164.029355
2001,Jun,107.036000,4.671917,162.390667
2001,Jul,106.034194,5.009016,147.779032
2001,Aug,106.686774,5.604158,185.866452
2001,Sep,104.887333,5.934013,201.817333
2001,Oct,103.010645,4.877855,200.631613
2001,Nov,103.079667,4.710540,204.379333
2001,Dec,105.201935,5.500510,191.760000
2002,Jan,104.329355,4.429026,181.214516
2002,Feb,106.261786,3.811082,175.850000
2002,Mar,105.734516,5.583261,190.730645
2002,Apr,107.299333,5.404890,190.977667
2002,May,106.985806,5.105819,191.781935
2002,Jun,105.073000,5.022530,188.190000
2002,Jul,102.530323,4.955300,194.621935
2002,Aug,99.660968,5.773348,187.906774
2002,Sep,96.772667,5.803430,156.869000
2002,Oct,93.233226,6.122852,180.569355
2002,Nov,88.577333,5.076700,155.785667
2002,Dec,87.923548,5.078871,149.942903
2003,Jan,88.325806,5.560639,149.014839
2003,Feb,86.888571,4.439625,129.223929
2003,Mar,89.555806,5.025371,101.743548
2003,Apr,91.604667,5.184447,107.324000
2003,May,92.485161,4.928035,126.022581
2003,Jun,91.475667,5.193247,161.088333
2003,Jul,86.820710,5.468806,136.022258
2003,Aug,82.164194,5.465968,81.793871
2003,Sep,77.810833,5.726670,85.237333
2003,Oct,78.560323,5.437029,70.632581
2003,Nov,80.799333,4.869160,100.212000
2003,Dec,83.498065,4.320329,109.103548
2004,Jan,87.395161,4.816445,97.637419
2004,Feb,91.757138,3.984462,91.901355
2004,Mar,96.900645,5.095855,101.288065
2004,Apr,99.974667,5.356033,107.619333
2004,May,103.170323,4.855771,108.285161
2004,Jun,103.302333,4.879750,147.151000
2004,Jul,101.000968,4.913897,136.350968
2004,Aug,98.443226,5.785642,155.115419
2004,Sep,94.952667,5.735733,165.231000
2004,Oct,93.254194,6.204584,195.697742
2004,Nov,89.107000,5.048297,170.732333
2004,Dec,89.327097,4.287132,128.786774
2005,Jan,91.714516,4.296919,96.634839
2005,Feb,95.251429,4.701382,99.997143
2005,Mar,102.354194,5.137281,89.464839
2005,Apr,106.739667,5.111397,139.312667
2005,May,106.876129,5.007510,159.539677
2005,Jun,106.883000,4.570950,127.621000
2005,Jul,105.792903,4.836755,131.595161
2005,Aug,105.587742,5.275648,154.509677
2005,Sep,104.878000,5.399163,188.854333
2005,Oct,103.325484,5.280874,185.080000
2005,Nov,101.774667,5.336707,184.562233
2005,Dec,99.569355,4.290197,208.243226
2006,Jan,98.382258,4.297855,213.158710
2006,Feb,97.433214,4.930921,157.213571
2006,Mar,99.454839,4.782013,133.439677
2006,Apr,99.286667,4.896380,119.372000
2006,May,99.614516,4.822939,128.241935
2006,Jun,97.708667,5.073267,150.397667
2006,Jul,95.777097,5.007742,160.907419
2006,Aug,93.855484,5.821339,148.821613
2006,Sep,90.165333,6.362077,148.782333
2006,Oct,85.745484,6.228494,126.239677
2006,Nov,81.461667,5.593337,105.624000
2006,Dec,80.008065,4.707426,98.230968
2007,Jan,83.875806,5.300416,98.543548
2007,Feb,87.485357,4.293432,47.542857
2007,Mar,93.974516,4.737752,74.766774
2007,Apr,96.770333,4.580187,82.357667
2007,May,101.075806,4.697981,117.866452
2007,Jun,101.076333,4.530120,144.658000
2007,Jul,100.258387,5.230884,146.159677
2007,Aug,97.743226,5.730526,128.752258
2007,Sep,94.370333,6.136757,134.013667
2007,Oct,89.950645,5.456477,102.896129
2007,Nov,92.398667,5.262387,63.081333
2007,Dec,95.999677,4.367455,86.061290
2008,Jan,100.347097,5.118548,77.753548
2008,Feb,101.146897,3.561914,92.448966
2008,Mar,102.546129,4.827871,82.118710
2008,Apr,106.834000,4.777310,115.910667
2008,May,107.132258,5.165713,112.477419
2008,Jun,104.205500,4.793543,97.571000
2008,Jul,101.169677,5.520032,92.969032
2008,Aug,98.204839,4.964135,102.083871
2008,Sep,97.192000,5.851937,129.695333
2008,Oct,94.644516,5.252294,142.086452
2008,Nov,94.459667,4.706370,164.513667
2008,Dec,99.787742,4.568177,194.472581
2009,Jan,101.131935,4.226768,135.716774
2009,Feb,101.660714,4.022600,112.208571
2009,Mar,104.868065,5.622229,135.033226
2009,Apr,107.045333,4.904040,145.472667
2009,May,107.054516,4.630561,179.296774
2009,Jun,106.726000,4.772087,203.252000
2009,Jul,105.030968,5.344858,190.805161
2009,Aug,102.024194,5.642923,187.628387
2009,Sep,99.675667,6.013593,148.856333
2009,Oct,98.432581,5.657510,148.916452
2009,Nov,97.655667,4.789630,148.798000
2009,Dec,99.173548,4.912303,165.603548
2010,Jan,99.312903,4.444339,154.453548
2010,Feb,101.929643,4.954429,157.159286
2010,Mar,107.236129,4.978274,217.991935
2010,Apr,107.261667,5.284817,216.454333
2010,May,107.085484,4.561568,215.452968
2010,Jun,107.060667,4.084617,213.307667
2010,Jul,106.845161,4.268265,186.346129
2010,Aug,105.007742,4.986368,202.497097
2010,Sep,102.519333,4.635953,194.872000
2010,Oct,102.528387,4.962126,189.645484
2010,Nov,101.237000,4.823097,217.224000
2010,Dec,99.293871,4.286274,215.800968
2011,Jan,98.977097,4.159513,202.981613
2011,Feb,97.572143,4.548736,127.545714
2011,Mar,96.424194,4.820403,102.974516
2011,Apr,93.394333,4.875170,101.331333
2011,May,94.641613,4.600910,105.005484
2011,Jun,98.138667,4.971437,137.218667
2011,Jul,98.270645,5.007835,159.402258
2011,Aug,96.731290,5.700048,166.221935
2011,Sep,92.488000,6.016580,137.136667
2011,Oct,90.210000,5.345548,128.670323
2011,Nov,90.698000,4.752423,133.030667
2011,Dec,94.514194,4.744432,174.762258
2012,Jan,95.037419,4.381603,117.730323
2012,Feb,95.063448,5.016300,98.397931
2012,Mar,98.555161,4.919161,91.926452
2012,Apr,102.075333,4.826233,90.419667
2012,May,104.287742,4.998968,137.420323
2012,Jun,103.417667,4.946167,160.030667
2012,Jul,100.845484,5.243868,172.911290
2012,Aug,97.290000,5.925129,156.761613
2012,Sep,94.383000,6.078297,140.241333
2012,Oct,91.117742,5.461965,135.374516
2012,Nov,91.363333,4.948850,160.616667
2012,Dec,96.417742,4.641719,177.147419
2013,Jan,101.217419,4.196832,152.418387
2013,Feb,104.313929,4.819386,167.890000
2013,Mar,105.631290,5.222519,151.861290
2013,Apr,107.403000,4.645137,178.492800
2013,May,107.481290,4.376435,175.775806
2013,Jun,107.097333,4.278770,177.682333
2013,Jul,107.017097,4.120403,195.554194
2013,Aug,106.458387,5.791039,194.324516
2013,Sep,104.226000,5.987387,195.679333
2013,Oct,101.762258,5.792923,197.410323
2013,Nov,99.857000,5.136800,196.022667
2013,Dec,99.154194,4.495565,188.555806
2014,Jan,102.187097,3.722439,178.942903
2014,Feb,104.206071,3.803664,186.359286
2014,Mar,105.435161,4.791013,174.070323
2014,Apr,107.412667,5.163867,140.922667
2014,May,107.316774,4.845413,157.958065
2014,Jun,106.985333,4.238303,179.300667
2014,Jul,106.546774,4.426739,146.240000
2014,Aug,103.024194,5.518429,146.141935
2014,Sep,101.216667,6.358137,149.264667
2014,Oct,98.072258,5.743258,192.314839
2014,Nov,94.301000,5.162707,182.269333
2014,Dec,95.489677,4.636597,170.901290
2015,Jan,99.019677,4.587942,139.661935
2015,Feb,100.132500,4.476314,146.025714
2015,Mar,103.277097,4.932742,132.887419
2015,Apr,107.362000,4.631017,173.363000
2015,May,106.455806,5.113100,185.991290
2015,Jun,104.245667,5.050100,195.514333
2015,Jul,100.041935,5.298890,190.142903
2015,Aug,96.944839,5.734574,185.684839
2015,Sep,92.794333,6.082083,168.322333
2015,Oct,89.822258,5.785894,133.473548
2015,Nov,88.475333,5.322673,104.190333
2015,Dec,92.887097,4.902239,108.893548
2016,Jan,95.321935,4.975026,134.845161
2016,Feb,96.057931,4.158710,107.618621
2016,Mar,101.953548,4.859110,116.815806
2016,Apr,107.223000,4.885607,220.653000
2016,May,107.339677,4.433265,215.859677
2016,Jun,107.126667,4.287627,233.116333
2016,Jul,106.104516,4.846794,234.009677
2016,Aug,104.920323,4.915945,230.165258
2016,Sep,104.379667,5.012737,223.067333
2016,Oct,104.994516,4.565758,213.260323
2016,Nov,107.140667,4.746820,226.710333
2016,Dec,107.071290,4.963477,238.238387
2017,Jan,103.991290,4.861200,252.721290
2017,Feb,101.392500,4.156375,191.808929
2017,Mar,104.677742,4.944442,247.534194
2017,Apr,105.295000,4.859017,250.381333
2017,May,106.612903,4.753774,243.043548
2017,Jun,104.742667,4.290360,181.037000
2017,Jul,103.697097,4.747690,178.921935
2017,Aug,102.321613,5.548042,181.596774
2017,Sep,99.193000,5.669170,197.151333
2017,Oct,96.429032,5.378971,218.270645
2017,Nov,97.061333,4.733987,239.178000
2017,Dec,97.848710,4.693800,232.782258
2018,Jan,96.448710,4.467274,147.698387
2018,Feb,96.130714,4.450161,133.003214
2018,Mar,101.654194,4.993068,133.946774
2018,Apr,104.415000,5.155747,181.881667
2018,May,102.966774,5.077345,197.760323
2018,Jun,100.641000,4.724893,174.768333
2018,Jul,99.010968,5.358574,187.442903
2018,Aug,97.296774,5.423519,190.489355
2018,Sep,93.243000,5.907600,159.357667
2018,Oct,90.248710,5.797158,145.016452
2018,Nov,89.314333,4.986750,144.362000
2018,Dec,92.620323,4.932052,152.744194
2019,Jan,91.653226,4.502029,149.264516
2019,Feb,92.563571,5.268332,137.228929
2019,Mar,96.697419,4.764765,128.312258
2019,Apr,101.166667,4.901063,117.762667
2019,May,105.476452,5.161197,190.036129
2019,Jun,103.277667,5.103497,170.086000
2019,Jul,100.213871,5.320381,184.816452
2019,Aug,98.497419,5.670542,191.338387
2019,Sep,94.576333,6.202517,183.473000
2019,Oct,90.446452,6.239784,165.025484
2019,Nov,86.685333,5.839457,114.943000
2019,Dec,86.791290,4.967419,87.407742
2020,Jan,91.143871,4.372116,84.468065
2020,Feb,94.531034,4.032224,98.575172
2020,Mar,99.117419,4.844590,108.187097
2020,Apr,105.132333,4.801883,189.539971
2020,May,106.284839,4.428755,193.100488
2020,Jun,106.196333,4.762880,170.486590
2020,Jul,104.761935,4.875274,177.401529
2020,Aug,101.279355,5.351006,202.279148
2020,Sep,97.831667,5.856337,215.360000
2020,Oct,95.535161,5.085687,217.217097
2020,Nov,93.593667,5.097697,218.411667
2020,Dec,89.923548,4.425419,180.063226
2021,Jan,90.220323,4.021013,119.682903
2021,Feb,95.159643,3.937264,99.828571
2021,Mar,97.646452,5.032461,94.824839
2021,Apr,98.302000,5.227743,100.705000
2021,May,98.646129,4.770442,121.999677
2021,Jun,99.238000,4.167823,122.657667
2021,Jul,100.404839,5.030397,149.738065
2021,Aug,100.081613,5.147048,196.961935
2021,Sep,97.462000,5.421630,215.499000
2021,Oct,92.729677,5.402461,226.235806
2021,Nov,93.248000,4.543387,220.477333
2021,Dec,95.418065,4.590310,252.352581
2022,Jan,94.341290,4.742852,130.554516
2022,Feb,94.083571,4.366189,116.163571
2022,Mar,93.975161,4.897594,117.661290
2022,Apr,97.945000,4.936620,113.966333
2022,May,101.420645,4.402771,131.790323
2022,Jun,103.386333,4.049863,182.242667
2022,Jul,102.618710,4.572700,201.648710
2022,Aug,100.693548,5.225452,196.357097
2022,Sep,99.820000,5.076963,197.101333
2022,Oct,101.444516,4.682300,218.559355
2022,Nov,101.731333,4.629467,257.197000
2022,Dec,102.437097,4.478061,213.422903
2023,Jan,102.095161,4.656839,203.697097
2023,Feb,100.643929,3.892193,142.890357
2023,Mar,101.194516,4.888723,132.957419
2023,Apr,103.802667,5.140440,142.886667
2023,May,105.869032,4.722258,192.010323
2023,Jun,104.751333,4.671263,176.499667
2023,Jul,103.398387,4.883352,201.027419
2023,Aug,99.520323,5.613732,200.993871
2023,Sep,95.328333,6.257967,187.086667
2023,Oct,91.610323,6.247123,171.898387
2023,Nov,88.939667,5.289967,146.409000
2023,Dec,90.219355,5.182684,136.006129
2024,Jan,95.267097,4.624452,134.351935
2024,Feb,97.966207,4.858810,141.388966
2024,Mar,101.777742,4.522432,147.684194
2024,Apr,104.080667,4.855457,150.555000
2024,May,106.015161,4.750665,167.119355
2024,Jun,105.262000,4.539837,193.907333
2024,Jul,104.088065,4.969148,193.155161
2024,Aug,101.929677,5.544345,134.744194
2024,Sep,97.913667,5.687117,159.640000
2024,Oct,95.309355,5.806926,162.718710
2024,Nov,94.546333,4.670643,148.617000
2024,Dec,98.407097,4.111500,150.197419
2025,Jan,97.642258,4.375929,156.403226
2025,Feb,97.849643,4.426475,134.493929
2025,Mar,102.336452,4.694374,134.818065
2025,Apr,104.484667,4.826800,144.623000
2025,May,106.181935,4.441261,139.823226
2025,Jun,106.086333,4.152663,140.062333
2025,Jul,106.035484,4.760390,145.437097
2025,Aug,106.111290,4.910368,144.441613
2025,Sep,104.406333,5.446673,106.634000
2025,Oct,101.521290,5.296987,151.489355
2025,Nov,103.657333,5.034403,172.141667
2025,Dec,103.723226,4.726477,190.940000
